z_Rp,density_g_cm3,pressure_dyn_cm2,temperature_K,tau,velocity_km_s
-37.5,3.613038694736409e-20,5.9199732954238e-07,256223.81238536345,2.786434845551574e-08,357.1562595370697
-37.4266862170088,3.613038694736409e-20,5.9199732954238e-07,256223.81238536345,2.786434845551574e-08,357.1562595370697
-37.353372434017594,3.613038694736409e-20,5.9199732954238e-07,256223.81238536345,2.786434845551574e-08,357.1562595370697
-37.280058651026394,3.613038694736409e-20,5.9199732954238e-07,256223.81238536345,2.786434845551574e-08,357.1562595370697
-37.20674486803519,3.613038694736409e-20,5.9199732954238e-07,256223.81238536345,2.786434845551574e-08,357.1562595370697
-37.13343108504399,3.613038694736409e-20,5.9199732954238e-07,256223.81238536345,2.786434845551574e-08,357.1562595370697
-37.06011730205279,3.613038694736409e-20,5.9199732954238e-07,256223.81238536345,2.786434845551574e-08,357.1562595370697
-36.98680351906158,3.613038694736409e-20,5.9199732954238e-07,256223.81238536345,2.786434845551574e-08,357.1562595370697
-36.91348973607038,3.613038694736409e-20,5.9199732954238e-07,256223.81238536345,2.786434845551574e-08,357.1562595370697
-36.84017595307918,3.613036560617469e-20,5.919967437726521e-07,256223.71020097457,5.572843334812757e-08,357.1713703528195
-36.766862170087975,3.613036560617469e-20,5.919967437726521e-07,256223.71020097457,5.572843334812757e-08,357.1713703528195
-36.693548387096776,3.613036560617469e-20,5.919967437726521e-07,256223.71020097457,5.572843334812757e-08,357.1713703528195
-36.62023460410557,3.613036560617469e-20,5.919967437726521e-07,256223.71020097457,5.572843334812757e-08,357.1713703528195
-36.54692082111437,3.613036560617469e-20,5.919967437726521e-07,256223.71020097457,5.572843334812757e-08,357.1713703528195
-36.47360703812317,3.613036560617469e-20,5.919967437726521e-07,256223.71020097457,5.572843334812757e-08,357.1713703528195
-36.40029325513196,3.613036560617469e-20,5.919967437726521e-07,256223.71020097457,5.572843334812757e-08,357.1713703528195
-36.32697947214076,3.613036560617469e-20,5.919967437726521e-07,256223.71020097457,5.572843334812757e-08,357.1713703528195
-36.25366568914956,3.613036560617469e-20,5.919967437726521e-07,256223.71020097457,5.572843334812757e-08,357.1713703528195
